message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.167175])";"30";"turtlesim3.sim";"1730222057.228312807";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.170252])";"30";"turtlesim1.sim";"1730222057.227696889";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.167175])";"30";"turtlesim2.sim";"1730222057.214413034";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.165639])";"30";"turtlesim3.sim";"1730222057.212628282";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.168716])";"30";"turtlesim1.sim";"1730222057.212469448";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.165639])";"30";"turtlesim2.sim";"1730222057.197990925";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.162570])";"30";"turtlesim1.sim";"1730222057.148520637";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.157961])";"30";"turtlesim1.sim";"1730222057.100608351";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.142598])";"30";"turtlesim1.sim";"1730222056.940362968";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.139521])";"30";"turtlesim2.sim";"1730222056.926433654";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.141061])";"30";"turtlesim1.sim";"1730222056.924350109";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.137985])";"30";"turtlesim2.sim";"1730222056.910524170";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.136448])";"30";"turtlesim3.sim";"1730222056.908519834";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.139525])";"30";"turtlesim1.sim";"1730222056.907588999";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.136448])";"30";"turtlesim2.sim";"1730222056.894284394";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.137989])";"30";"turtlesim1.sim";"1730222056.892308099";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.134912])";"30";"turtlesim3.sim";"1730222056.892267933";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.134912])";"30";"turtlesim2.sim";"1730222056.878529035";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.133376])";"30";"turtlesim3.sim";"1730222056.877139075";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.136452])";"30";"turtlesim1.sim";"1730222056.876570199";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.133376])";"30";"turtlesim2.sim";"1730222056.861800342";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.131839])";"30";"turtlesim3.sim";"1730222056.861000007";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.134916])";"30";"turtlesim1.sim";"1730222056.860005464";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.131839])";"30";"turtlesim2.sim";"1730222056.846812734";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.130303])";"30";"turtlesim3.sim";"1730222056.844512689";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.133380])";"30";"turtlesim1.sim";"1730222056.843844688";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.130303])";"30";"turtlesim2.sim";"1730222056.830378333";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.128767])";"30";"turtlesim3.sim";"1730222056.829010206";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.131843])";"30";"turtlesim1.sim";"1730222056.827805204";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.128767])";"30";"turtlesim2.sim";"1730222056.814144182";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.116476])";"30";"turtlesim2.sim";"1730222056.686746685";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.051950])";"30";"turtlesim2.sim";"1730222056.014669687";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.053489])";"30";"turtlesim1.sim";"1730222056.012541766";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.050413])";"30";"turtlesim3.sim";"1730222056.012452558";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.050413])";"30";"turtlesim2.sim";"1730222055.998438994";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=6.045804])";"30";"turtlesim2.sim";"1730222055.950567083";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.965915])";"30";"turtlesim3.sim";"1730222055.132607017";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.968990])";"30";"turtlesim1.sim";"1730222055.132284641";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.965915])";"30";"turtlesim2.sim";"1730222055.118527452";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.964378])";"30";"turtlesim3.sim";"1730222055.116308699";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.964378])";"30";"turtlesim2.sim";"1730222055.102198801";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.950551])";"30";"turtlesim2.sim";"1730222054.958021111";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.933654])";"30";"turtlesim1.sim";"1730222054.763815590";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.930579])";"30";"turtlesim2.sim";"1730222054.750865902";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.921361])";"30";"turtlesim2.sim";"1730222054.654240663";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.919824])";"30";"turtlesim3.sim";"1730222054.652861953";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.922900])";"30";"turtlesim1.sim";"1730222054.651695326";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.919824])";"30";"turtlesim2.sim";"1730222054.638473555";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.918288])";"30";"turtlesim3.sim";"1730222054.636849552";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.921363])";"30";"turtlesim1.sim";"1730222054.635969801";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.918288])";"30";"turtlesim2.sim";"1730222054.622768571";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.916752])";"30";"turtlesim3.sim";"1730222054.620427442";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.919827])";"30";"turtlesim1.sim";"1730222054.620397984";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.916752])";"30";"turtlesim2.sim";"1730222054.606177586";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.913679])";"30";"turtlesim3.sim";"1730222054.588410599";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.904461])";"30";"turtlesim2.sim";"1730222054.478269630";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.902925])";"30";"turtlesim3.sim";"1730222054.476775711";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.906000])";"30";"turtlesim1.sim";"1730222054.476386960";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.902925])";"30";"turtlesim2.sim";"1730222054.462318313";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.904464])";"30";"turtlesim1.sim";"1730222054.460743060";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.901388])";"30";"turtlesim3.sim";"1730222054.460176601";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.901388])";"30";"turtlesim2.sim";"1730222054.446391495";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.899852])";"30";"turtlesim3.sim";"1730222054.444447076";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.902927])";"30";"turtlesim1.sim";"1730222054.444174117";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.899852])";"30";"turtlesim2.sim";"1730222054.429801510";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.882955])";"30";"turtlesim1.sim";"1730222054.236148699";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.879880])";"30";"turtlesim3.sim";"1730222054.236077407";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.879880])";"30";"turtlesim2.sim";"1730222054.222282343";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.878343])";"30";"turtlesim3.sim";"1730222054.220575632";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.881418])";"30";"turtlesim1.sim";"1730222054.219588672";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.878343])";"30";"turtlesim2.sim";"1730222054.206225817";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.866053])";"30";"turtlesim3.sim";"1730222054.093078593";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.862980])";"30";"turtlesim2.sim";"1730222054.045782267";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.861443])";"30";"turtlesim3.sim";"1730222054.044791057";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.864518])";"30";"turtlesim1.sim";"1730222054.044078473";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.861443])";"30";"turtlesim2.sim";"1730222054.030122825";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.862982])";"30";"turtlesim1.sim";"1730222054.028471281";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.859907])";"30";"turtlesim3.sim";"1730222054.028108697";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.859907])";"30";"turtlesim2.sim";"1730222054.014189508";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.856834])";"30";"turtlesim2.sim";"1730222053.982298373";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.841471])";"30";"turtlesim2.sim";"1730222053.822336324";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.843010])";"30";"turtlesim1.sim";"1730222053.820759447";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.839935])";"30";"turtlesim3.sim";"1730222053.820698488";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.839935])";"30";"turtlesim2.sim";"1730222053.806527965";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.838398])";"30";"turtlesim3.sim";"1730222053.804554421";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.841473])";"30";"turtlesim1.sim";"1730222053.803611919";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.838398])";"30";"turtlesim2.sim";"1730222053.790366439";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.839937])";"30";"turtlesim1.sim";"1730222053.788540103";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.836862])";"30";"turtlesim3.sim";"1730222053.788426020";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.836862])";"30";"turtlesim2.sim";"1730222053.774012788";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.835326])";"30";"turtlesim3.sim";"1730222053.772388619";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.838400])";"30";"turtlesim1.sim";"1730222053.772291327";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.835326])";"30";"turtlesim2.sim";"1730222053.758440596";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.836864])";"30";"turtlesim1.sim";"1730222053.756747885";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.833789])";"30";"turtlesim3.sim";"1730222053.756594093";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.833789])";"30";"turtlesim2.sim";"1730222053.742000278";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.835328])";"30";"turtlesim1.sim";"1730222053.740271859";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.832253])";"30";"turtlesim3.sim";"1730222053.740077442";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.832253])";"30";"turtlesim2.sim";"1730222053.726408211";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.830717])";"30";"turtlesim3.sim";"1730222053.724474833";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.833791])";"30";"turtlesim1.sim";"1730222053.724054166";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.830717])";"30";"turtlesim2.sim";"1730222053.710478353";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.826108])";"30";"turtlesim2.sim";"1730222053.662651817";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.824571])";"30";"turtlesim3.sim";"1730222053.660289730";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.827646])";"30";"turtlesim1.sim";"1730222053.660146230";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.824571])";"30";"turtlesim2.sim";"1730222053.646311458";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.823035])";"30";"turtlesim3.sim";"1730222053.644992122";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.826110])";"30";"turtlesim1.sim";"1730222053.643894787";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.823035])";"30";"turtlesim2.sim";"1730222053.630142723";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.821499])";"30";"turtlesim3.sim";"1730222053.628919805";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.824573])";"30";"turtlesim1.sim";"1730222053.628180845";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.821499])";"30";"turtlesim2.sim";"1730222053.614475990";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.819962])";"30";"turtlesim3.sim";"1730222053.612566653";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.823037])";"30";"turtlesim1.sim";"1730222053.612526612";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.819962])";"30";"turtlesim2.sim";"1730222053.597865213";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.818426])";"30";"turtlesim3.sim";"1730222053.596936586";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.821501])";"30";"turtlesim1.sim";"1730222053.595890335";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.818426])";"30";"turtlesim2.sim";"1730222053.581950354";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.816890])";"30";"turtlesim3.sim";"1730222053.580940311";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.819964])";"30";"turtlesim1.sim";"1730222053.580037518";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.816890])";"30";"turtlesim2.sim";"1730222053.566179329";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.818428])";"30";"turtlesim1.sim";"1730222053.564202409";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.815353])";"30";"turtlesim3.sim";"1730222053.564151117";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.815353])";"30";"turtlesim2.sim";"1730222053.550567678";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.816892])";"30";"turtlesim1.sim";"1730222053.548696175";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.813817])";"30";"turtlesim2.sim";"1730222053.534633278";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.812281])";"30";"turtlesim3.sim";"1730222053.532564191";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.815355])";"30";"turtlesim1.sim";"1730222053.531844398";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.812281])";"30";"turtlesim2.sim";"1730222053.518560252";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.813819])";"30";"turtlesim1.sim";"1730222053.516670832";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.095420, y=5.810744])";"30";"turtlesim3.sim";"1730222053.516543624";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.095420, y=5.810744])";"30";"turtlesim2.sim";"1730222053.502702810";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.120852, y=5.812283])";"30";"turtlesim1.sim";"1730222053.499929097";"./src/turtle.cpp:update:288"
"Oh no! I hit the wall! (Clamping from [x=11.095421, y=5.810746])";"30";"turtlesim1.sim";"1730222053.484141780";"./src/turtle.cpp:update:288"
